0,WILLIAM HUMBERTO SENDEROS,Glorieta de Juan Luis Blázquez 49 Apt. 57 ,33691,Asturias,612842952,whumberto@mail.com,1992-09-23,man1.jpg,Telefonista,2,Bombero Inspector,10,Jefe de Seguros,5,Doctor en Programa Oficial de Posgrado en gestion ,Universidad San Pablo-CEU,valenciano,7,arabe,1,aleman,2,español,6,python,Ajax,python,Ruby-on-rails,C++,sql,Visual Basic,Visual-Studio
1,AMPARO ASUNCION EL HADDAOUI,Paseo Victor Manuel Carrera 80,43558,Tarragona,646942724,aasuncion@yahoo.com,1983-07-19,girl1.jpg,Director de Coral,0,Docente en Artes Escenicas,1,Animador Cultural,0,Graduado o Graduada en Sociologia,Universidad de Alicante,italiano,2,gallego,8,vasco,1,arabe,5,C++,Flash,html,Ajax,Sql-server,C,Objective-c,php
2,ZAYDA CENTELLAS,Via Juan Carlos Castejón 48,09848,Burgos,635733416,zcentella@mail.kz,1981-10-31,girl2.jpg,Jefe de Seguros,6,Contador,9,Ayudante de Taller de Artes del Fuego,1,Graduado o Graduada en Filologia por la Universida,Universidad Catolica de Valencia San Vicente Marti,frances ,3,holandes,1,catalan,2,catalan,4,database,asp.net,php,C++,html,jquery,C++,Ajax
3,BLAS DAVID SUENA,Pasadizo de Guillermo España 39 Puerta 7 ,07351,Baleares,674831398,bdavid@gmail.com,1973-07-22,man2.jpg,Asistente de Asuntos Literarios,10,Analista Programador de Sistemas,0,Asistente de Protocolo,5,Master Universitario en Derecho de Empresa,Universidad Jaume I de Castellon,italiano,8,gallego,5,catalan,6,aleman,0,Windows,C,mysql,css,Flash,.Net,html,Windows
4,JESSICA VANESSA BOEDO,Pasaje de Alfonso Peñas 41,28993,Madrid,733473999,jvanessa@mail.com,1974-11-06,girl1.jpg,Supervisor del Programa Asistencia Medica Estudian,4,Asistente de Biologia,9,Entrenador Deportivo,6,Programa de Doctorado en Ciencias Politicas y Soci,Universidad de La Rioja,gallego,8,frances ,8,holandes,5,arabe,0,Java,mysql,Visual Basic,javascript,Android,Flash,Visual Basic,mysql
5,IVETT TUBERT,Vial Juan Francisco Lucena 67,12535,Castellon,652007273,ituber@hotmail.com,1975-09-26,girl2.jpg,Coordinador de Pasantias y Actividades Complementa,8,Asistente de Asuntos Audiovisuales,9,Jefe Central de Recursos Humanos,3,Master Universitario en Mediacion Familiar y con M,Universidad Rovira i Virgili,español,8,español,3,catalan,7,español,5,asp.net,sql,Ruby-on-rails,php,mysql,html,Android,php
6,JACK MICHAEL COSTOSO,Acceso de Iker Mata 21 Puerta 1 ,13815,Ciudad Real,765976686,jmichael@hotmail.com,1974-12-29,man1.jpg,Sub-director Educativo,6,Ingeniero de Proyectos,0,Planificador Central,3,Master Universitario Erasmus Mundus en Encrucijada,Universidad de Oviedo,arabe,5,aleman,9,catalan,2,vasco,9,Ajax,mysql,Java,XML,Ajax,Objective-c,Flash,C++
7,EMAD OLUCHA,Via Noelia Albero 60 Piso 7 ,33730,Asturias,644182093,eoluch@aol.com,1972-10-31,man1.jpg,Supervisor de Proteccion y Seguridad ,10,Abogado Jefe,5,Inspector General de los Servicios Bomberiles,7,Master Universitario en Sintesis y Reactividad Qui,Universidad Internacional de Andalucia,frances ,8,holandes,3,ingles,10,valenciano,5,Linux,Flash,Flash,Flash,Sql-server,Android,XML,Windows
8,ZARA MARIA YABAR,Paseo Begoña Expósito 98 Puerta 2 ,40717,Segovia,775046693,zmaria@aol.com,1980-03-22,girl1.jpg,Documentalista de Bienes Inmuebles,10,Director Educativo,5,Fotolitografo,1,Diplomado en Gestion y Administracion Publica,Universidad Autonoma de Madrid,frances ,9,catalan,0,aleman,5,italiano,7,Django,C,Java,sql,Flash,iphone,javascript,XML
9,JOSE QUINTIN TREMOSA,Camino de Juan Luis Verdejo 85,50581,Zaragoza,669542664,jquintin@hotmail.com,1984-02-24,man1.jpg,Coordinador de Biblioteca,7,Serigrafista,6,Planificador,2,Doctor en Programa Oficial de Posgrado en Programa,Universidad Fernando Pessoa-Canarias (UFP-C),gallego,9,ingles,0,italiano,4,ingles,3,Java,html,jquery,css,css,Objective-c,C,php
