0,JESSICA ISABEL DIAZ CANO,Cuesta de Carmen Aramburu 79 Apt. 57 ,49511,Zamora,624466335,jisabel@mail.com,1975-08-05,girl1.jpg,Jefe de Informacion y Control Estudiantil,1,Coralista Lider de Cuerdas,10,Jefe de Planes Operativos y Estrategicos,3,Master Universitario en Gestion y Direccion de Emp,Universidad Camilo Jose Cela,arabe,8,holandes,1,italiano,1,catalan,6,Ruby-on-rails,Windows,C,css,Ajax,Android,C,html
1,CAMELIA ELENA ROLO,Ronda de Joaquin Quiroga 29 Apt. 76 ,37120,Salamanca,785567927,celena@yahoo.com,1997-11-16,girl1.jpg,Coordinador de Biblioteca,3,Instructor de Desarrollo en Artes Plasticas,9,Analista de Presupuesto,4,Master Universitario en Gestion y Administracion d,Varias Universidades,holandes,6,holandes,5,italiano,9,vasco,9,Iphone-sdk,Objective-c,Sql-server,javascript,Objective-c,C,Django,sql
2,ARIF BALMASEDA,Rambla de Mónica Rodríguez 2 Apt. 58 ,18601,Granada,739699356,abalmased@aol.com,1980-10-17,man1.jpg,Jefe de Salud Integral,9,Asistente de Especialista en Informacion,1,Arquitecto,3,Master Universitario en Farmacologia por la Univer,Universitat Oberta de Catalunya,gallego,10,portugues,7,vasco,2,italiano,0,Objective-c,css,Ajax,Java,Java,Ruby-on-rails,Ruby-on-rails,database
3,JASLEEN MADRAMANY,Acceso de Laura Escudero 96 Apt. 63 ,10899,Caceres,633441293,jmadraman@yahoo.com,1981-06-14,girl1.jpg,Especialista en Mtto. de Equipos de Computacion,0,Jefe de Artes,1,Jefe de Taller Automotor,0,Master Universitario en Avances en Radiologia Diag,Universitat Internacional Valenciana,ingles,4,vasco,7,italiano,0,arabe,3,Ajax,Iphone-sdk,javascript,Sql-server,Ajax,Ajax,.Net,Visual-Studio
4,PEDRO VICTORIANO MANESCU,Avenida de Jorge Jáuregui 76,49929,Zamora,609419655,pvictoriano@mail.kz,1977-04-17,man2.jpg,Auxiliar de Registro y Estadisticas de Servicios A,10,Oficial de Correo,3,Contador,1,Master Universitario Erasmus Mundus en Vision Comp,(Conjunto Internacional),aleman,9,catalan,9,arabe,10,italiano,9,Java,C++,Sql-server,css,html,XML,Objective-c,javascript
5,MARIA CORO CAÑIZARES,Acceso Antonia Noriega 184,08886,Barcelona,735534731,mcoro@mail.com,1981-06-08,girl1.jpg,Instrumentista Academico Lider de Cuerdas,8,Fotolitografo,6,Coordinador de Preescolar,9,Programa Oficial de Doctorado en Mecanica Computac,Universidad de Burgos,portugues,0,gallego,4,ingles,1,ingles,5,Iphone-sdk,html,php,Flash,Windows,.Net,php,.Net
6,ALFONSO EUGENIO AIRAS,Plaza de Alfonso Canet 90 Puerta 5 ,43474,Tarragona,673974794,aeugenio@mail.kz,1982-11-12,man2.jpg,Analista de Organizacion y Sistemas ,1,Supervisor de Servicios Generales,3,Director de Teatro,3,Graduado o Graduada en Humanidades y Antropologia ,(Conjunto),frances ,3,catalan,3,gallego,8,valenciano,0,mysql,database,asp.net,C,Visual-Studio,.Net,iphone,php
7,GISLENE CRAIU,Pasadizo de Raquel Hernández 6,08266,Barcelona,701353855,gcrai@aol.com,1971-12-13,girl2.jpg,Analista de Nomina,2,Tecnico Electricista,10,Archivista Jefe,0,Graduado o Graduada en Ciencias Juridicas de las A,Universidad de Murcia,holandes,1,español,7,frances ,3,catalan,0,jquery,Iphone-sdk,Java,Windows,Django,Sql-server,Flash,Visual-Studio
8,IRMA MARIA AZOFRA,Via de Hector Coello 86 Puerta 7 ,12616,Castellon,619227641,imaria@mail.com,1986-08-08,girl2.jpg,Soplador de Vidrio,0,Fisioterapeuta,4,Operador de Equipos de Telecomunicaciones,1,Programa Oficial de Doctorado en Historia de las I,Universidad San Jorge,aleman,3,vasco,4,gallego,8,arabe,8,Java,iphone,asp.net,Iphone-sdk,jquery,Windows,Django,C++
9,LIZ FABIOLA IRAOLAGOITIA,Camino de Mario Valenciano 35,35823,Las Palmas,646637293,lfabiola@gmail.com,1974-09-03,girl2.jpg,Coordinador de Asuntos Literarios,2,Analista de Laboratorio de Proteccion Ambiental,4,Entrenador Deportivo,8,Master Universitario en Mediacion Familiar Integra,Universidad de Extremadura,español,0,ingles,7,valenciano,6,valenciano,3,css,sql,html,Ajax,Android,database,php,html
